,handle,solvedCount,voteCount,class,tier,ratingByProblemsSum,university
CookieHCl,CookieHCl,801,28,5,22,1944,서울대학교
Coxie,Coxie,2256,104,9,26,2327,성균관대학교
Dandelin,Dandelin,182,0,1,11,698,서울대학교
Diuven,Diuven,1083,18,8,25,2252,MIT
FridayYa,FridayYa,61,0,0,9,494,국민대학교
Glitterlance,Glitterlance,499,0,4,16,1316,서강대학교
Heyhue07,Heyhue07,260,0,2,14,1168,연세대학교
Horaegi,Horaegi,312,0,4,16,1374,아주대학교
HowlingOfSouL,HowlingOfSouL,884,0,3,16,1329,고려대학교
IHHI,IHHI,867,444,8,24,2147,서울대학교
Joon,Joon,694,0,5,17,1515,서울대학교
Juno,Juno,2819,0,9,26,2375,연세대학교
Lawali,Lawali,2828,98,10,31,2679,고려대학교
MenOfPassion,MenOfPassion,5165,30,9,26,2300,KAIST
Nada,Nada,2474,0,7,23,2054,서강대학교
Nyan101,Nyan101,805,10,8,23,1983,고려대학교
Picasso,Picasso,1107,21,6,21,1803,서강대학교
RiKang,RiKang,373,0,1,20,2008,고려대학교
Rose,Rose,1047,0,6,20,1769,숭실대학교
TAMREF,TAMREF,1594,220,9,28,2450,서울대학교
Utenie,Utenie,573,0,3,17,1580,고려대학교
WeissBlume,WeissBlume,3415,1626,8,25,2197,서강대학교
ZZangZZang,ZZangZZang,610,0,3,17,1571,서강대학교
Zeta611,Zeta611,303,0,3,15,1222,서울대학교
a0334787,a0334787,142,0,1,9,409,중앙대학교
a0805030,a0805030,1,0,0,0,19,KAIST
a205879,a205879,15,0,0,1,29,성균관대학교
a240143,a240143,155,0,2,10,556,서울대학교
a3626a,a3626a,11,0,0,4,139,KAIST
a41798175,a41798175,456,43,5,17,1485,서울대학교
a5653a,a5653a,18,0,0,1,31,국민대학교
a751546,a751546,237,0,3,14,1078,연세대학교
a9869162,a9869162,246,0,3,13,980,중앙대학교
a_hyun,a_hyun,7,0,0,1,40,경북대학교
a_mean,a_mean,110,0,1,7,289,국민대학교
aa1103,aa1103,34,0,1,3,47,중앙대학교
aa248424,aa248424,342,0,6,16,1336,경북대학교
aa2495,aa2495,28,0,0,2,61,숭실대학교
aaabbbq,aaabbbq,92,0,1,6,204,서울대학교
aab07,aab07,42,0,0,5,162,숭실대학교
aahcbird,aahcbird,468,0,4,16,1306,고려대학교
aal2525,aal2525,86,0,1,10,600,아주대학교
aasr4r4,aasr4r4,431,0,3,15,1326,KAIST
aass05213,aass05213,134,0,3,14,1120,중앙대학교
aass0903,aass0903,393,0,4,16,1341,중앙대학교
aass4856,aass4856,52,0,1,5,119,경북대학교
aaxxdd,aaxxdd,71,0,2,10,600,연세대학교
ab4896,ab4896,21,0,0,1,32,서강대학교
ababc1005,ababc1005,477,40,5,20,1749,서울대학교
abc1245,abc1245,182,0,3,12,832,중앙대학교
abc4571998,abc4571998,63,0,1,7,246,한양대학교
abcd_f_hi_k,abcd_f_hi_k,7,0,0,0,7,연세대학교
abcdkh1209,abcdkh1209,273,0,3,14,1076,숭실대학교
abcdvd,abcdvd,364,22,5,19,1640,연세대학교
abcgy39,abcgy39,282,0,4,15,1264,연세대학교
abdbscd2,abdbscd2,214,0,3,13,971,성균관대학교
abkmekp,abkmekp,303,0,3,13,941,국민대학교
able2030,able2030,117,0,1,10,611,POSTECH
ableway98,ableway98,134,0,1,10,687,성균관대학교
aboisabo,aboisabo,39,0,1,4,64,한양대학교
abra_stone,abra_stone,1204,39,6,24,2124,KAIST
abyo,abyo,37,0,0,5,159,서강대학교
ac259bj,ac259bj,956,0,4,15,1189,경북대학교
acapz,acapz,222,0,2,11,656,한양대학교
acbcdc,acbcdc,136,0,2,12,844,중앙대학교
ace3014,ace3014,41,0,1,4,65,숭실대학교
acebroad,acebroad,749,0,5,17,1382,서울대학교
acedevil728,acedevil728,23,0,0,6,243,성균관대학교
acegugu,acegugu,28,0,0,7,313,숭실대학교
acehong1021,acehong1021,224,0,4,14,1126,고려대학교
acekdhh,acekdhh,310,0,4,15,1231,성균관대학교
acepark,acepark,701,50,7,21,1809,아주대학교
acetaldehyde,acetaldehyde,245,0,2,14,1129,서울대학교
achrxme1838,achrxme1838,140,0,2,11,800,서강대학교
acorn0415,acorn0415,132,0,2,11,708,숭실대학교
acoustic,acoustic,355,0,4,15,1246,연세대학교
acoustic_py,acoustic_py,332,0,4,15,1245,연세대학교
acrane,acrane,151,0,3,14,1146,아주대학교
acrord,acrord,198,0,1,14,1228,아주대학교
